longitude,latitude
37.55596,55.72166
37.55652,55.72148
37.55832,55.72102
37.55894,55.72085
37.55909,55.7208
37.55931,55.72075
37.55955,55.72068
37.5598,55.72062
37.56067,55.72038
37.56155,55.72013
37.56321,55.7196
37.56331,55.71957
37.56408,55.71931
37.56485,55.71906
37.56549,55.71887
37.56613,55.71866
37.56675,55.71846
37.56738,55.71825
37.56818,55.71797
37.56897,55.71769
37.57054,55.71713
37.57118,55.7169
37.57186,55.71663
37.57204,55.71655
37.57207,55.71654
37.57228,55.71646
37.57284,55.71622
37.57348,55.71595
37.57394,55.71578
37.5744,55.71558
37.57469,55.71546
37.57497,55.71534
37.57524,55.7152
37.57551,55.71506
37.57561,55.71495
37.57577,55.71482
37.57607,55.7146
37.57657,55.71421
37.57722,55.71374
37.57761,55.71346
37.5777,55.71339
37.57818,55.71303
37.57846,55.71284
37.57882,55.71264
37.57954,55.71205
37.5799,55.71175
37.58007,55.71161
37.58035,55.71138
37.58077,55.71106
37.58099,55.7109
37.58141,55.71061
37.58171,55.7104
37.58284,55.70962
37.58286,55.7096
37.58314,55.70941
37.58323,55.70935
37.58335,55.70928
37.58341,55.70924
37.58341,55.70923
37.58384,55.70895
37.58385,55.70894
37.58551,55.70795
37.58564,55.70788
37.58572,55.70783
37.58573,55.70782
37.58607,55.70764
37.58645,55.70747
37.58666,55.70738
37.58681,55.70732
37.58702,55.70724
37.58723,55.70716
37.58742,55.70709
37.58761,55.70702
37.58816,55.70683
37.58834,55.70676
37.58855,55.70669
37.58861,55.70667
37.58881,55.7066
37.58908,55.70651
37.58943,55.70642
37.58977,55.70632
37.59203,55.70566
37.59233,55.70558
37.59287,55.70542
37.59507,55.70484
37.59579,55.70463
37.59721,55.7042
37.5977,55.70407
37.59792,55.70401
37.59811,55.70396
37.59832,55.7039
37.59893,55.70374
37.59923,55.70367
37.59964,55.70356
37.60143,55.70309
37.60238,55.70283
37.60268,55.70276
37.60335,55.70258
37.60341,55.70256
37.60461,55.70218
37.60502,55.70204
37.60599,55.70174
37.60646,55.70159
37.60669,55.70151
37.6069,55.70144
37.60709,55.70138
37.60811,55.70111
37.60834,55.70107
37.60856,55.70103
37.60909,55.70097
37.60935,55.70095
37.60961,55.70095
37.60991,55.70094
37.61005,55.70094
37.61031,55.70094
37.61056,55.70095
37.61077,55.70096
37.61098,55.70098
37.61134,55.70103
37.61156,55.70107
37.61177,55.70109
37.61242,55.70121
37.61269,55.70128
37.61287,55.70132
37.61321,55.70142
37.61363,55.70155
37.61387,55.70163
37.61405,55.7017
37.61424,55.70177
37.61451,55.70189
37.61469,55.70197
37.61494,55.70209
37.61513,55.70219
37.61538,55.70234
37.61555,55.70244
37.61576,55.70258
37.61615,55.70286
37.61655,55.70322
37.61705,55.70368
37.61717,55.70378
37.61748,55.70406
37.61765,55.70421
37.61768,55.70423
37.6179,55.7044
37.61806,55.7045
37.6183,55.70466
37.61861,55.70483
37.61872,55.70489
37.61887,55.70497
37.6193,55.70519
37.61944,55.70525
37.61962,55.70532
37.61985,55.70541
37.62021,55.70552
37.62034,55.70556
37.62046,55.70559
37.62073,55.70565
37.62099,55.70571
37.62113,55.70573
37.62114,55.70574
37.62121,55.70574
37.6213,55.70575
37.622,55.7058
37.62259,55.7058
37.62295,55.70577
37.62391,55.7057
37.62491,55.7056
37.62506,55.70558
37.62541,55.70553
37.62569,55.7055
37.62596,55.70548
37.62627,55.70544
37.62666,55.70538
37.6273,55.7053
37.62826,55.70521
37.63064,55.705
37.63241,55.70483
37.63417,55.70467
37.63437,55.70465
37.63534,55.70456
37.63722,55.70438
37.63788,55.70431
37.63835,55.70426
37.64183,55.70391
37.64234,55.70386
37.64243,55.70385
37.64292,55.70381
37.6441,55.7037
37.64463,55.70366
37.64493,55.70364
37.64506,55.70364
37.64513,55.70366
37.64576,55.7036
37.64742,55.70346
37.64931,55.70329
37.64961,55.70327
37.64985,55.70325
37.65004,55.70324
37.65031,55.70323
37.65073,55.70321
37.65117,55.7032
37.65176,55.70318
37.65205,55.70318
37.65224,55.70317
37.65241,55.70317
37.65291,55.70317
37.65529,55.70313
37.65582,55.70315
37.65606,55.70316
37.65627,55.70317
37.65642,55.70318
37.65656,55.7032
37.65687,55.70323
37.65713,55.70328
37.65754,55.70336
37.65778,55.70341
37.65801,55.70347
37.6583,55.70356
37.65859,55.70366
37.6588,55.70375
37.65919,55.70391
37.65946,55.70406
37.66093,55.70487
37.66116,55.70499
37.66138,55.70512
37.6636,55.70635
37.66366,55.70638
37.66664,55.70804
37.6668,55.70814
37.66701,55.70825
37.66715,55.70832
37.66854,55.70906
37.6691,55.70935
37.66967,55.70967
37.67128,55.71054
37.67163,55.71074
37.67272,55.71132
37.67305,55.7115
37.67327,55.71161
37.6735,55.71171
37.67374,55.71182
37.67399,55.71192
37.67429,55.71204
37.67454,55.71213
37.67507,55.7123
37.67955,55.71361
37.68015,55.71378
37.6806,55.71393
37.681,55.71407
37.68148,55.71426
37.68318,55.71498
37.68354,55.71514
37.6841,55.71537
37.68461,55.71555
37.68857,55.71668
37.68946,55.71694
37.6901,55.71713
37.69057,55.71725
37.69192,55.71757
37.6924,55.7177
37.69291,55.71782
37.69446,55.71817
37.69536,55.71838
37.69583,55.71848
37.69625,55.7186
37.69738,55.71894
37.69893,55.71941
37.70039,55.71983
37.70082,55.71994
37.70154,55.72005
37.70212,55.72014
37.70229,55.72017
37.7024,55.72018
37.7027,55.72022
37.7031,55.72027
37.70323,55.7203
37.70333,55.72032
37.70365,55.72041
37.70388,55.72048
37.70403,55.72052
37.70432,55.7206
37.7048,55.72075
37.70567,55.72103
37.70586,55.72109
37.70605,55.72115
